country,season,name,price,score,review_label,review_count,facility_size_m2,num_bedrooms,facility_type
Libya,September_LowSeason,Διαμέρισμα 65 τμ στην καρδιά της πόλης,TND 183,9.6,Exceptional,324 reviews,65,1,Apartment
Libya,September_LowSeason,Sam's View - City Heart Tripoli,TND 171,9.5,Exceptional,154 reviews,N/A,N/A,N/A
Libya,September_LowSeason,Sam's View City Heart Tripoli - Beautiful Apartment With Backyard,TND 186,9.4,Wonderful,126 reviews,72,2,Apartment
Libya,September_LowSeason,Fully equipped Apartment,TND 251,9.1,Wonderful,101 reviews,65,1,Apartment
Libya,September_LowSeason,tripoli center apartment,TND 195,9.5,Exceptional,90 reviews,35,1,Apartment
Libya,September_LowSeason,V&V Apartment,TND 245,9.5,Exceptional,187 reviews,35,1,Apartment
Libya,September_LowSeason,AKROTHEA suites & lounge,TND 406,9.6,Exceptional,571 reviews,N/A,N/A,N/A
Libya,September_LowSeason,TripoliStay,TND 211,9.6,Exceptional,23 reviews,38,1,Apartment
Libya,September_LowSeason,Tripoli Center,TND 187,8.9,Excellent,184 reviews,35,1,Apartment
Libya,September_LowSeason,In Centre Suite by Open City,TND 220,7.5,Good,171 reviews,35,1,Apartment
Libya,September_LowSeason,nice stay,TND 204,9.0,Wonderful,135 reviews,50,1,Apartment
Libya,September_LowSeason,The Nest - Cozy Stay in Arcadia,TND 192,9.4,Wonderful,29 reviews,27,1,Apartment
Libya,September_LowSeason,Anaktorikon Boutique Hotel,TND 440,9.6,Exceptional,161 reviews,N/A,N/A,N/A
Libya,September_LowSeason,NYX Guesthouse,TND 629,9.7,Exceptional,98 reviews,31,1,Apartment
Libya,September_LowSeason,Cozy apartment in the center,TND 339,9.3,Wonderful,43 reviews,110,3,Apartment
Libya,September_LowSeason,Milea Agritourism,TND 857,9.8,Exceptional,75 reviews,N/A,1,Suite
Libya,September_LowSeason,Calma Apartment - Your calm escape in Arcadia,TND 247,9.7,Exceptional,7 reviews,45,2,Apartment
Libya,September_LowSeason,Mary's Loft,TND 472,9.7,Exceptional,15 reviews,70,1,Apartment
Libya,September_LowSeason,Neossia - Tripoli City Escape,TND 246,9.8,Exceptional,22 reviews,42,1,Apartment
Libya,September_LowSeason,s2 apartments,TND 305,7.6,Good,32 reviews,45,1,Apartment
Libya,September_LowSeason,Orfeas apartment,TND 288,9.3,Wonderful,31 reviews,40,1,Apartment
Libya,September_LowSeason,MARY'S HOUSE Roof Garden HUB,TND 294,9.6,Exceptional,47 reviews,70,2,Apartment
Libya,September_LowSeason,Palatino Rooms & Apartments,TND 406,8.5,Very Good,235 reviews,N/A,N/A,N/A
Libya,September_LowSeason,ΤΕΓΟΣ Country Guest House,TND 339,9.7,Exceptional,60 reviews,N/A,N/A,N/A
Libya,September_LowSeason,Alex Hotel,TND 331,8.1,Very Good,122 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Grand Plaza Nouakchott,TND 174,7.2,Good,218 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Transit,TND 71,9.2,Wonderful,343 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Sheraton Nouakchott Hotel,TND 728,8.5,Very Good,37 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Urban Hotel Nouakchott,TND 230,8.7,Excellent,269 reviews,N/A,N/A,N/A
Mauritania,May_Spring,Urban Hotel Suites,TND 185,8.6,Excellent,122 reviews,N/A,N/A,N/A
